"name","job_title","skills","average_salary"
"AT&T","Associate Director- Data Insights","sql","255830"
"AT&T","Associate Director- Data Insights","aws","255830"
"AT&T","Associate Director- Data Insights","jupyter","255830"
"AT&T","Associate Director- Data Insights","azure","255830"
"AT&T","Associate Director- Data Insights","excel","255830"
"AT&T","Associate Director- Data Insights","tableau","255830"
"AT&T","Associate Director- Data Insights","power bi","255830"
"AT&T","Associate Director- Data Insights","databricks","255830"
"AT&T","Associate Director- Data Insights","pandas","255830"
"AT&T","Associate Director- Data Insights","pyspark","255830"
"AT&T","Associate Director- Data Insights","python","255830"
"AT&T","Associate Director- Data Insights","powerpoint","255830"
"AT&T","Associate Director- Data Insights","r","255830"
"Pinterest Job Advertisements","Data Analyst, Marketing","sql","232423"
"Pinterest Job Advertisements","Data Analyst, Marketing","hadoop","232423"
"Pinterest Job Advertisements","Data Analyst, Marketing","python","232423"
"Pinterest Job Advertisements","Data Analyst, Marketing","r","232423"
"Pinterest Job Advertisements","Data Analyst, Marketing","tableau","232423"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","sql","217000"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","tableau","217000"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","crystal","217000"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","flow","217000"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","oracle","217000"
"SmartAsset","Principal Data Analyst (Remote)","numpy","205000"
"SmartAsset","Principal Data Analyst (Remote)","pandas","205000"
